λ,theoretical,empirical
2.0,8.308224368480666e-6,0.0
5.0,0.013695268598382881,0.0132
8.0,0.18411420744145301,0.1932
12.0,0.6527705824458284,0.6551
15.0,0.8815355884709849,0.8913
